"TITLE","DOI","PUBDATE","ENTREZUID","ABSTRACT"
"Diagnoses and ordering practices driving blood demand for treatment of anemia in Tanzania.","10.1111/trf.14461","2018 Feb","29350415","Resource-limited countries in Africa experience blood shortages. Understanding clinical drivers of blood demand can inform strategies to increase blood availability.From a national representative sample of 42 hospitals in Tanzania, patient records and requests for whole blood (WB) and red blood cells (RBCs) to treat anemia were analyzed using data collected prospectively from June through September 2013. Abstracted data included cause of anemia, number of requested units, clinical signs, and pretransfusion hemoglobin (Hb) levels. Weighted projections of nationwide drivers of blood demand for the year, 2013, were calculated. Mean posttransfusion Hb levels were estimated, and blood requests were assessed for clinical appropriateness.Malaria was the leading driver of blood demand for anemia among children, accounting for 67% (55,949 units; standard deviation [SD], 1911 units) of projected units requested for children in 2013. Maternal hemorrhage was the leading driver of blood demand for anemia among adults, accounting for 21% (31,321 units; SD, 963 units) of projected units requested. Seventeen percent (26,133 units; SD, 1013 units) of projected requested units were deemed inappropriate. Adults with severe anemia had a mean Hb level of 3.7 g/dL and a mean of 1.6 WB or RBC units per request, resulting in an estimated mean posttransfusion Hb level of 5.3 g/dL.Strategies to prevent and treat underlying causes of anemia and decrease inappropriate blood requests will likely increase blood availability. Restrictive blood ordering practices seen in adults with severe anemia suggests undertreatment of anemia and may result in an underestimation of the national blood demand.© 2018 AABB."
"Future directions for notifiable diseases: tuberculosis-related laws in the Philippines.","10.1186/s12992-018-0405-2","2018 Aug 22","30134993","With the increasing burden of tuberculosis (TB) in the Philippines, and the risk of multidrug resistance to TB, there is a need to strengthen the surveillance system. In many countries, cases of TB are reported to health authorities, and reporting is an effective way to manage TB. Although TB is a universal and representative reportable disease, the Philippines does not designate it as a notifiable disease.This study aimed to review and compare current communicable disease-related laws and regulations in the Philippines with relevant international laws and regulations in other countries, to highlight where current TB notification regulations require change, or to determine whether they reflect global trends. Furthermore, we aimed to have TB included along with other communicable diseases on the list of legally required notifiable diseases in the Philippines. We reviewed current TB-related laws, acts of parliament, executive orders, presidential decrees, administrative orders, and memorandums. We undertook a literature review of relevant World Health Organization documentation, with 17 countries selected for comparison. Data on reported TB cases in the Philippines were obtained from health authorities, and health legislation data from foreign countries was collected from a public law database or from the government websites of each country. Most of the selected countries have a legislative basis for regulating notifiable diseases. In many countries, including Australia, Canada, China, Kiribati, Nauru, Niue, New Zealand, the Republic of Korea, Singapore, the United Kingdom, and Vanuatu, laws on communicable disease notification include TB notification. Our results suggest that notification of communicable diseases should be enforced through domestic health legislation.To align the Philippines with standard practice in the selected countries, TB could be included on the list of notifiable diseases in one of two ways. First, the current regulation ""Revised List of Notifiable Diseases, Syndromes, Health-related Events and Conditions of 2008"" could be revised to include TB. Second, new TB regulations could be introduced and implemented. Any revisions or new regulations should specify methods to identify and manage TB, and safeguard individual rights."
"Seasonal patterns of tuberculosis case notification in the tropics of Africa: A six-year trend analysis in Ethiopia.","10.1371/journal.pone.0207552","2018","30475836","Seasonal variations affect the health system's functioning, including tuberculosis (TB) services, but there is little evidence about seasonal variations in TB case notification in tropical countries, including Ethiopia. This study sought to fill this gap in knowledge using TB data reported from 10 zones, 5 each from Amhara and Oromia regions.Notified TB cases for 2010-2016 were analyzed using SPSS version 20. We calculated the quarterly and annual average TB case notification rates and the proportion of seasonal amplitudes. We applied Winters' multiplicative method of exponential smoothing to break down the original time series into seasonal, trend, and irregular components and to build a suitable model for forecasting.A total of 205,575 TB cases were identified (47.8% from Amhara, 52.2% from Oromia), with a male-to-female ratio of 1.2:1. The means of 8,200 (24%), 7,992 (23%), 8,849 (26%), and 9,222 (27%) TB cases were reported during July-September, October-December, January-March, and April-June, respectively. The seasonal component of our model indicated a peak in April-June and a trough in October-December. The seasonal amplitude in Amhara region is 10% greater than that of Oromia (p < 0.05).TB is shown to be a seasonal disease in Ethiopia, with a peak in quarter four and a low in quarter two of the fiscal year. The peak TB case notification rate corresponds with the end of the dry season in the two agrarian regions of Ethiopia. TB prevention and control interventions, such as efforts to increase community TB awareness about TB transmission and contact tracing, should consider seasonal variation. Regional variations in TB seasonality may require consideration of geographic-specific TB case-finding strategies. The mechanisms underlying the seasonal variation of TB are complex, and further study is needed."
"Feature selection and prediction of treatment failure in tuberculosis.","10.1371/journal.pone.0207491","2018","30458029","Tuberculosis is a major cause of morbidity and mortality in the developing world. Drug resistance, which is predicted to rise in many countries worldwide, threatens tuberculosis treatment and control.To identify features associated with treatment failure and to predict which patients are at highest risk of treatment failure.On a multi-country dataset managed by the National Institute of Allergy and Infectious Diseases we applied various machine learning techniques to identify factors statistically associated with treatment failure and to predict treatment failure based on baseline demographic and clinical characteristics alone.The complete-case analysis database consisted of 587 patients (68% males) with a median (p25-p75) age of 40 (30-51) years. Treatment failure occurred in approximately one fourth of the patients. The features most associated with treatment failure were patterns of drug sensitivity, imaging findings, findings in the microscopy Ziehl-Nielsen stain, education status, and employment status. The most predictive model was forward stepwise selection (AUC: 0.74), although most models performed at or above AUC 0.7. A sensitivity analysis using the 643 original patients filling the missing values with multiple imputation showed similar predictive features and generally increased predictive performance.Machine learning can help to identify patients at higher risk of treatment failure. Closer monitoring of these patients may decrease treatment failure rates and prevent emergence of antibiotic resistance. The use of inexpensive basic demographic and clinical features makes this approach attractive in low and middle-income countries."
"Measuring progress and projecting attainment on the basis of past trends of the health-related Sustainable Development Goals in 188 countries: an analysis from the Global Burden of Disease Study 2016.","10.1016/S0140-6736(17)32336-X","2017 Sep 16","28916366","The UN's Sustainable Development Goals (SDGs) are grounded in the global ambition of ""leaving no one behind"". Understanding today's gains and gaps for the health-related SDGs is essential for decision makers as they aim to improve the health of populations. As part of the Global Burden of Diseases, Injuries, and Risk Factors Study 2016 (GBD 2016), we measured 37 of the 50 health-related SDG indicators over the period 1990-2016 for 188 countries, and then on the basis of these past trends, we projected indicators to 2030.We used standardised GBD 2016 methods to measure 37 health-related indicators from 1990 to 2016, an increase of four indicators since GBD 2015. We substantially revised the universal health coverage (UHC) measure, which focuses on coverage of essential health services, to also represent personal health-care access and quality for several non-communicable diseases. We transformed each indicator on a scale of 0-100, with 0 as the 2·5th percentile estimated between 1990 and 2030, and 100 as the 97·5th percentile during that time. An index representing all 37 health-related SDG indicators was constructed by taking the geometric mean of scaled indicators by target. On the basis of past trends, we produced projections of indicator values, using a weighted average of the indicator and country-specific annualised rates of change from 1990 to 2016 with weights for each annual rate of change based on out-of-sample validity. 24 of the currently measured health-related SDG indicators have defined SDG targets, against which we assessed attainment.Globally, the median health-related SDG index was 56·7 (IQR 31·9-66·8) in 2016 and country-level performance markedly varied, with Singapore (86·8, 95% uncertainty interval 84·6-88·9), Iceland (86·0, 84·1-87·6), and Sweden (85·6, 81·8-87·8) having the highest levels in 2016 and Afghanistan (10·9, 9·6-11·9), the Central African Republic (11·0, 8·8-13·8), and Somalia (11·3, 9·5-13·1) recording the lowest. Between 2000 and 2016, notable improvements in the UHC index were achieved by several countries, including Cambodia, Rwanda, Equatorial Guinea, Laos, Turkey, and China; however, a number of countries, such as Lesotho and the Central African Republic, but also high-income countries, such as the USA, showed minimal gains. Based on projections of past trends, the median number of SDG targets attained in 2030 was five (IQR 2-8) of the 24 defined targets currently measured. Globally, projected target attainment considerably varied by SDG indicator, ranging from more than 60% of countries projected to reach targets for under-5 mortality, neonatal mortality, maternal mortality ratio, and malaria, to less than 5% of countries projected to achieve targets linked to 11 indicator targets, including those for childhood overweight, tuberculosis, and road injury mortality. For several of the health-related SDGs, meeting defined targets hinges upon substantially faster progress than what most countries have achieved in the past.GBD 2016 provides an updated and expanded evidence base on where the world currently stands in terms of the health-related SDGs. Our improved measure of UHC offers a basis to monitor the expansion of health services necessary to meet the SDGs. Based on past rates of progress, many places are facing challenges in meeting defined health-related SDG targets, particularly among countries that are the worst off. In view of the early stages of SDG implementation, however, opportunity remains to take actions to accelerate progress, as shown by the catalytic effects of adopting the Millennium Development Goals after 2000. With the SDGs' broader, bolder development agenda, multisectoral commitments and investments are vital to make the health-related SDGs within reach of all populations.Bill & Melinda Gates Foundation.Copyright © 2017 The Authors. Published by Elsevier Ltd. This is an Open Access article published under the CC BY 4.0 license. Published by Elsevier Ltd.. All rights reserved."
"A New Hybrid Model Using an Autoregressive Integrated Moving Average and a Generalized Regression Neural Network for the Incidence of Tuberculosis in Heng County, China.","10.4269/ajtmh.16-0648","2017 Sep","28820678","It is a daunting task to eradicate tuberculosis completely in Heng County due to a large transient population, human immunodeficiency virus/tuberculosis coinfection, and latent infection. Thus, a high-precision forecasting model can be used for the prevention and control of tuberculosis. In this study, four models including a basic autoregressive integrated moving average (ARIMA) model, a traditional ARIMA-generalized regression neural network (GRNN) model, a basic GRNN model, and a new ARIMA-GRNN hybrid model were used to fit and predict the incidence of tuberculosis. Parameters including mean absolute error (MAE), mean absolute percentage error (MAPE), and mean square error (MSE) were used to evaluate and compare the performance of these models for fitting historical and prospective data. The new ARIMA-GRNN model had superior fit relative to both the traditional ARIMA-GRNN model and basic ARIMA model when applied to historical data and when used as a predictive model for forecasting incidence during the subsequent 6 months. Our results suggest that the new ARIMA-GRNN model may be more suitable for forecasting the tuberculosis incidence in Heng County than traditional models."
"Comparing Drivers and Dynamics of Tuberculosis in California, Florida, New York, and Texas.","10.1164/rccm.201702-0377OC","2017 Oct 15","28475845","There is substantial state-to-state heterogeneity in tuberculosis (TB) in the United States; better understanding this heterogeneity can inform effective response to TB at the state level, the level at which most TB control efforts are coordinated.To characterize drivers of state-level heterogeneity in TB epidemiology in the four U.S. states that bear half the country's TB burden: California, Florida, New York, and Texas.We constructed an individual-based model of TB in the four U.S. states and calibrated the model to state-specific demographic and age- and nativity-stratified TB incidence data. We used the model to infer differences in natural history of TB and in future projections of TB.We found that differences in both demographic makeup (particularly the size and composition of the foreign-born population) and TB transmission dynamics contribute to state-level differences in TB epidemiology. The projected median annual rate of decline in TB incidence in the next decade was substantially higher in Texas (3.3%; 95% range, -5.6 to 10.9) than in California (1.7%; 95% range, -3.8 to 7.1), Florida (1.5%; 95% range, -7.4 to 14), and New York (1.9%; 95% range, -6.4 to 9.8). All scenarios projected a flattening of the decline in TB incidence by 2025 without additional resources or interventions.There is substantial state-level heterogeneity in TB epidemiology in the four states, which reflect both demographic factors and potential differences in the natural history of TB. These differences may inform resource allocation decisions in these states."
"A model of population dynamics of TB in a prison system and application to South Africa.","10.1186/s13104-017-2968-z","2017 Nov 29","29187239","Tuberculosis (TB) continues to spread in South African prisons in particular, as prisons are over-capacitated and have poor ventilation. The awaiting trial detainees are not screened on admission and are at high risk of getting infected with TB.We propose a compartmental model to describe the population dynamics of TB disease in prisons. Our model considers the inflow of susceptible, exposed and TB infectives into the prison population. Removal of individuals out of the prison population can be either by death or by being released from prison, as compared to a general population in which removal is only by death. We describe conditions, including non-inflow of infectives into the prison, which will ensure that TB can be eradicated from the prison population. The model is calibrated for the South African prison system, by using data in existing literature. The model can be used to make quantitative projections of TB prevalence and to measure the effect of interventions. Illustrative simulations in this regard are presented. The model can be used for other prison populations too, if data is available to calculate the model parameters.Various simulations generated with our model serve to illustrate how it can be utilized in making future projections of the levels of prevalence of TB, and to quantify the effect of interventions such as screening, treatment or reduction of transmission parameter values through improved living conditions for inmates. This makes it particularly useful as there are various targets set by the World Health Organization and by governments, for reduction of TB prevalence and ultimately its eradication. Towards eradication of TB from a prison system, the theorem on global stability of the disease-free state is a useful indicator."
"Progress and prospects for the control of HIV and tuberculosis in South Africa: a dynamical modelling study.","10.1016/S2468-2667(17)30066-X","2017 May","29253488","In September, 2016, South Africa adopted a policy of providing antiretroviral treatment to everyone infected with HIV irrespective of their CD4 cell count. Studies of universal treatment and expanded prevention of HIV differ widely in their projections of effects and the associated costs, so we did this analysis to attempt to find a consensus.We used data on HIV from the Joint UN Programme on HIV and AIDS (UNAIDS) from 1988 to 2013 and from data from WHO on tuberculosis from 1980 to to 2013 to fit a dynamical model to time trends in HIV prevalence, antiretroviral therapy (ART) coverage, and tuberculosis notification rates in South Africa. We then used the model to estimate current trends and project future patterns in HIV prevalence and incidence, AIDS-related mortality, and tuberculosis notification rates, and we used data from the South African National AIDS Council to assess current and future costs under different combinations of treatment and prevention approaches. We considered two treatment strategies: the Constant Effort strategy, in which people infected with HIV continue to start treatment at the rate in 2016, and the Expanded Treatment and Prevention (ETP) strategy, in which testing rates are increased, treatment is started immediately after HIV is detected, and prevention programmes are expanded.Our estimates show that HIV incidence among adults aged 15 years or older fell from 2·3% per year in 1996 to 0·65% per year in 2016, AIDS-related mortality decreased from 1·4% per year in 2006 to 0·37% per year in 2016, and both continue to fall at a relative rate of 17% per year. Our model shows that maintenance of Constant Effort will have a substantial effect on HIV but will not end AIDS, whereas ETP could end AIDS by 2030, with incidence of HIV and AIDs-related mortality rates both at less than one event per 1000 adults per year. Under ETP the annual cost of health care and prevention will increase from US$2·3 billion in 2016 to $2·9 billion in 2018, then decrease to $1·7 billion in 2030 and $0·9 billion in 2050. Over the next 35 years, the expansion of treatment will avert an additional 3·8 million new infections, save 1·1 million lives, and save $3·2 billion compared with continuing Constant Effort up to 2050. Expansion of prevention, including provision of pre-exposure prophylaxis, condom distribution, and male circumcision, could avert a further 150 000 new infections, save 5000 lives, and cost an additional $5·7 billion compared with Constant Effort.Our results suggest that South Africa is on track to reduce HIV incidence and AIDS-related mortality substantially by 2030, saving both lives and money. Success will depend on high rates of HIV testing, ART delivery and adherence, good patient monitoring and support, and data to monitor progress.None.Copyright © 2017 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND license. Published by Elsevier Ltd.. All rights reserved."
"The challenge of the new tuberculosis drugs.","10.1016/j.lpm.2017.01.016","2017 Mar","28256383","Tuberculosis (TB) continues to cause more deaths worldwide than any other single infectious disease. Even though tuberculosis appears to be decreasing in incidence globally for some time, the proportion of drug resistance is increasing, contributing to greater complexity, morbidity and mortality as well as cost. Since the advent of rifampicin in the 1960s, and the implementation of standard quadruple anti-tuberculosis regimen in the late 1970s, no new drugs have been changed the first line regimen. This regimen is effective however it is pill burden, and duration has not received investment and innovation. Drug-resistant regimens are long and frequently poorly tolerated due to significant toxicity. This review is an update on what is new in the treatment of drug-susceptible and drug-resistant tuberculosis, new TB drugs currently being used and studied in clinical trials are also mentioned. Fortunately, there have been many significant advances in this field in recent years. The horizon is changing with the new WHO shorter multidrug-resistant tuberculosis regimens and with the increasing availability of new or repurposed drugs like bedaquiline, delamanid, clofazimine and linezolid. These drugs pose new challenges relating to their rational use to prevent selection of resistant strains of Mycobacterium tuberculosis even before a new regimen has been studied. The availability of these new drugs is offering hope and new possibilities for saving patients who had few or no treatment options. Their use and combination into effective regimens need to be studied; trials are in progress. It is hoped that soon we will be able to treat sensitive and drug-resistant cases with a universal regimen, this would revolutionise treatment and take us another step closer towards elimination.Copyright © 2017 Elsevier Masson SAS. All rights reserved."
"The global dynamics of diabetes and tuberculosis: the impact of migration and policy implications.","10.1016/j.ijid.2017.01.018","2017 Mar","28153793","The convergence between tuberculosis (TB) and diabetes mellitus (DM) will represent a major public health challenge in the near future. DM increases the risk of developing TB by two to three times and also increases the risk of TB treatment failure, relapse, and death. The global prevalence of DM is predicted to rise significantly in the next two decades, particularly in some of the low- and middle-income countries with the highest TB burden. Migration may add further complexity to the effort to control the impact on TB of the growing DM pandemic. Migration may increase the risk of DM, although the magnitude of this association varies according to country of origin and ethnic group, due to genetic factors and lifestyle differences. Migrants with TB may have an increased prevalence of DM compared to the native population, and the risk of TB among persons with DM may be higher in migrants than in autochthonous populations. Screening for DM among migrants, screening migrants with DM for active and latent TB, and improving access to DM care, could contribute to mitigate the effects of DM on TB.Copyright © 2017 The Authors. Published by Elsevier Ltd.. All rights reserved."
"Expected effects of adopting a 9 month regimen for multidrug-resistant tuberculosis: a population modelling analysis.","10.1016/S2213-2600(16)30423-4","2017 Mar","27989591","In May, 2016, WHO endorsed a 9 month regimen for multidrug-resistant tuberculosis that is cheaper and potentially more effective than the conventional, longer (20-24 month) therapy. We aimed to investigate the population-level implications of scaling up this new regimen.In this population modelling analysis, we developed a dynamic transmission model to simulate the introduction of this short-course regimen as an instantaneous switch in 2016. We projected the corresponding percentage reduction in the incidence of multidrug-resistant tuberculosis by 2024 compared with continued use of longer therapy. In the primary analysis in a representative southeast Asian setting, we assumed that the short-course regimen would double treatment access (through savings in resources or capacity) and achieve long-term efficacy at levels seen in preliminary cohort studies. We then did extensive sensitivity analyses to explore a range of alternative scenarios.Under the optimistic assumptions in the primary analysis, the incidence of multidrug-resistant tuberculosis in 2024 would be 3·3 (95% uncertainty range 2·2-5·6) per 100 000 population with the short-course regimen and 4·3 (2·9-7·6) per 100 000 population with continued use of longer therapy-ie, the short-course regimen could reduce incidence by 23% (10-38). Incidence would be reduced by 14% (4-28) if the new regimen affected only treatment effectiveness and by 11% (3-24) if it affected only treatment availability. Under more pessimistic assumptions, the short-course regimen would have minimal effect and even potential for harm-eg, when 30% of patients are ineligible for the new regimen because of second-line drug resistance, we projected a change in incidence of -2% (-20 to +28). The new regimen's effect was greater in settings with more ongoing transmission of multidrug-resistant tuberculosis, but results were otherwise similar across settings with different levels of tuberculosis incidence and prevalence of multidrug resistance.The short-course regimen has potential to substantially lessen the multidrug-resistant tuberculosis epidemic, but this effect depends on its long-term efficacy, its ability to expand treatment access, and the role of second-line drug resistance.US National Institutes of Health and Bill & Melinda Gates Foundation.Copyright © 2017 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY license. Published by Elsevier Ltd.. All rights reserved."
"Towards leprosy elimination by 2020: forecasts of epidemiological indicators of leprosy in Corrientes, a province of northeastern Argentina that is a pioneer in leprosy elimination.","10.1590/0074-02760160490","2017 Jun","28591402","Corrientes, a province of northeastern Argentina with endemic leprosy, has improved its epidemiological indicators, however, a study of the dynamics over time is lacking.We analysed data of 1308 leprosy patients between 1991 to 2014, and the forecast for 2020.Descriptive statistics and stepwise Bayesian model selection were performed. Forecasts were made using the median of 100,000 projections using the parameters calculated via Monte Carlo methods.We found a decreasing number of new leprosy cases (-2.04 cases/year); this decrease is expected to continue by an estimated 20.28 +/- 10.00 cases by 2020, evidenced by a sustained decline in detection rate (from 11 to 2.9/100,000 inhabitants). Age groups that were most affected were 15-44 (40.13%) and 45-64 (38.83%) year olds. Multibacillary forms (MB) predominated (70.35%) and while gradually declining, between 10 and 30% developed disability grade 2 (DG2) (0.175 (0.110 - 0.337) DG2/MB cases), with a time delay between 0 to 15 years (median = 0). The proportion of MB clinic forms and DG2 increased and will continuously increase in the short term (0.036 +/- 0.018 logit (MB/total of cases).Corrientes is on the way to eliminating leprosy by 2020, however the increased proportion of MB clinical forms and DG2 signals a warning for disease control efforts."
"Epidemiological and laboratorial profile of patients with isolation of nontuberculous mycobacteria.","10.4103/ijmy.ijmy_87_17","2017 Jul-Sep","28776521","An increase in NTM diseases in the international scenario has been observed in recent years.To analyze the epidemiological and laboratory profiles of patients with isolation of nontuberculous mycobacteria (NTM) over one decade. A retrospective analysis of records of a mycobacterial reference laboratory found 135 cases with isolation of NTM.Clinical and epidemiological data were collected from the records of government health clinics and from the State notification system (TBWEB). The cases were geocoded by location based on the street address in the Mercator Transverse Universal projection, Datum SAD/69 and MapInfo software.Most patients were male (66.7%), older than 50 years (40%) and had only completed elementary schooling (38.5%). Associated health problems were found in 71.8% of the subjects, with 43.7% being HIV positive and 25.9% having had tuberculosis in the past. Hospitals were the most able institutions to diagnose cases (45.2%). Sputum was the most common material tested (63.0%) with the bacilloscopy being positive in 33.3% of cases. The most common mycobacteria species in the region were Mycobacterium avium and M. abscessus/M. massiliense/M. bolletii. When the regional reference municipality was analyzed, M. avium and M. fortuitum were the most common species isolated in the urban area.In the study region, mycobacteriosis most affected adult males with low schooling. Most patients presented comorbidities in particular co-infection with the HIV virus. M. avium is the most prevalent species in the region with the M. abscessus/M. massiliense/M. bolletii species being the main cause of nosocomial infections."
"Current and future trends in tuberculosis incidence in New York City: a dynamic modelling analysis.","10.1016/S2468-2667(17)30119-6","2017 Jul","29082351","After steady decline since the 1990s, tuberculosis (TB) incidence in New York City (NYC) and the United States (US) has flattened. The reasons for this trend and the implications for the future trajectory of TB in the US remain unclear.We developed a compartmental model of TB in NYC, parameterized with detailed epidemiological data. We ran the model under five alternative scenarios representing different explanations for recent declines in TB incidence. We evaluated each scenario's relative likelihood by comparing its output to available data. We used the most likely scenarios to explore drivers of TB incidence and predict future trajectories of the TB epidemic in NYC.Demographic changes and declining TB transmission alone were insufficient to explain recent trends in NYC TB incidence. Only scenarios that assumed contemporary changes in TB dynamics among the foreign-born - a declining rate of reactivation or a decrease in imported subclinical TB - could accurately describe the trajectory of TB incidence since 2007. In those scenarios, the projected decline in TB incidence from 2015 to 2025 varied from minimal [2·0%/year (95% credible interval 0·4-3·5%)] to similar to 2005 to 2009 trends [4·4%/year (2·5-6·4%)]. The primary factor differentiating optimistic from pessimistic projections was the degree to which improvements in TB dynamics among the foreign-born continued into the coming decade.Further progress against TB in NYC requires additional focus on the foreign-born population. Absent additional intervention in this group, TB incidence may not decline further."
"Priority-Setting for Novel Drug Regimens to Treat Tuberculosis: An Epidemiologic Model.","10.1371/journal.pmed.1002202","2017 Jan","28045934","Novel drug regimens are needed for tuberculosis (TB) treatment. New regimens aim to improve on characteristics such as duration, efficacy, and safety profile, but no single regimen is likely to be ideal in all respects. By linking these regimen characteristics to a novel regimen's ability to reduce TB incidence and mortality, we sought to prioritize regimen characteristics from a population-level perspective.We developed a dynamic transmission model of multi-strain TB epidemics in hypothetical populations reflective of the epidemiological situations in India (primary analysis), South Africa, the Philippines, and Brazil. We modeled the introduction of various novel rifampicin-susceptible (RS) or rifampicin-resistant (RR) TB regimens that differed on six characteristics, identified in consultation with a team of global experts: (1) efficacy, (2) duration, (3) ease of adherence, (4) medical contraindications, (5) barrier to resistance, and (6) baseline prevalence of resistance to the novel regimen. We compared scale-up of these regimens to a baseline reflective of continued standard of care. For our primary analysis situated in India, our model generated baseline TB incidence and mortality of 157 (95% uncertainty range [UR]: 113-187) and 16 (95% UR: 9-23) per 100,000 per year at the time of novel regimen introduction and RR TB incidence and mortality of 6 (95% UR: 4-10) and 0.6 (95% UR: 0.3-1.1) per 100,000 per year. An optimal RS TB regimen was projected to reduce 10-y TB incidence and mortality in the India-like scenario by 12% (95% UR: 6%-20%) and 11% (95% UR: 6%-20%), respectively, compared to current-care projections. An optimal RR TB regimen reduced RR TB incidence by an estimated 32% (95% UR: 18%-46%) and RR TB mortality by 30% (95% UR: 18%-44%). Efficacy was the greatest determinant of impact; compared to a novel regimen meeting all minimal targets only, increasing RS TB treatment efficacy from 94% to 99% reduced TB mortality by 6% (95% UR: 1%-13%, half the impact of a fully optimized regimen), and increasing the efficacy against RR TB from 76% to 94% lowered RR TB mortality by 13% (95% UR: 6%-23%). Reducing treatment duration or improving ease of adherence had smaller but still substantial impact: shortening RS TB treatment duration from 6 to 2 mo lowered TB mortality by 3% (95% UR: 1%-6%), and shortening RR TB treatment from 20 to 6 mo reduced RR TB mortality by 8% (95% UR: 4%-13%), while reducing nonadherence to the corresponding regimens by 50% reduced TB and RR TB mortality by 2% (95% UR: 1%-4%) and 6% (95% UR: 3%-10%), respectively. Limitations include sparse data on key model parameters and necessary simplifications to model structure and outcomes.In designing clinical trials of novel TB regimens, investigators should consider that even small changes in treatment efficacy may have considerable impact on TB-related incidence and mortality. Other regimen improvements may still have important benefits for resource allocation and outcomes such as patient quality of life."
"The Incidence of Ocular Tuberculosis in Australia Over the Past 10 Years (2006-2015).","10.1080/09286586.2017.1336562","2017 Dec","28901810","To determine the incidence and clinical phenotype of ocular tuberculosis in Australia based on the mandatory jurisdictional health notification records for TB.A whole population retrospective case series (Australia). Patients diagnosed with ocular tuberculosis were identified over the past 10 years (1 January 2006 to 31 December 2015) as recorded by individual Health Department jurisdictions per mandatory health notifications. The incidence rates were calculated based on the available Australian census data. Incidence rates were age and sex standardized.A total of 162 cases of ocular tuberculosis were identified across Australia over a 10-year time period. Of these, 156 participants were overseas born. The 10-year Australian incidence of ocular tuberculosis was 0.77 per 100,000 people. While there has been a downward trend in overall TB annual incidence rates from 2010 to 2015, over the same period the annual incidence of ocular TB has increased compared to the 4 previous years. Descriptive clinical data regarding the ocular manifestations of TB was available in 73/157 patients. In these 73 patients the commonest manifestations of ocular TB were unspecified uveitis (50.1%), focal, multifocal or serpiginous choroiditis or chorioretinitis (12.3%) and retinal vasculitis (11.0%). Of patients with ocular TB, 4/162 (2.47%) had associated pulmonary TB and 8/162 (4.94%) had associated systemic (non-pulmonary) TB. Systemic anti-TB therapy was administered to 161 patients.The annual Australian incidence of ocular tuberculosis was 0.077 per 100,000 people. Increasing notifications in the past 6 years may demonstrate increased awareness and changing diagnostic criteria of the disease in the Australian population."
"Public health implications of changing patterns of recruitment into the South African mining industry, 1973-2012: a database analysis.","10.1186/s12889-017-4640-x","2017 Aug 3","28774280","The triple epidemic of silicosis, tuberculosis and HIV infection among migrant miners from South Africa and neighbouring countries who have worked in the South African mining industry is currently the target of regional and international control efforts. These initiatives are hampered by a lack of information on this population.This study analysed the major South African mining recruitment database for the period 1973 to 2012 by calendar intervals and demographic and occupational characteristics. Changes in area of recruitment were mapped using a geographic information system.The database contained over 10 million contracts, reducible to 1.64 million individuals. Major trends relevant to health projection were a decline in gold mining employment, the major source of silicosis; increasing recruitment of female miners; and shifts in recruitment from foreign to South African miners, from the Eastern to the Northwestern parts of South Africa, and from company employees to contractors.These changes portend further externalisation of the burden of mining lung disease to home communities, as miners, particularly from the gold sector, leave the industry. The implications for health, surveillance and health services of the growing number of miners hired as contractors need further research, as does the health experience of female miners. Overall, the information in this report can be used for projection of disease burden and direction of compensation, screening and treatment services for the ex-miner population throughout Southern Africa."
"Diagnosis of Tuberculosis in HIV Co-infected Individuals: Current Status, Challenges and Opportunities for the Future.","10.1111/sji.12567","2017 Aug","28513865","Tuberculosis (TB) remains one of the most important causes of death among people co-infected with human immunodeficiency virus (HIV). The diagnosis of TB remains challenging in HIV co-infected individuals, due to a high frequency of smear-negative disease and high rates of extrapulmonary TB. Accurate, ease of use and rapid diagnosis of active TB are critical to the World Health Organization (WHO) End TB Strategy by 2050. Traditional laboratory techniques do not provide rapid and accurate results to effectively manage HIV co-infected patients. Over the last decade, molecular methods have provided significant steps in the fight against TB. However, many HIV co-infected patients do not have access to these molecular diagnostic tests. Given the costs closely related with confirming a TB diagnosis in HIV patients, an overtreatment for TB is used in this patient population. Nowadays, an estimated US $8 billion a year is required to provide TB treatment, which is very high compared with making an important strategy to improve the current diagnostic tests. This review focuses on current advances in diagnosing active TB with an emphasis on the diagnosis of HIV-associated TB. Also discussed are the main challenges that need to be overcome for improving an adequate initial diagnosis of active TB in HIV-positive patients.© 2017 The Foundation for the Scandinavian Journal of Immunology."
"Hybrid methodology for tuberculosis incidence time-series forecasting based on ARIMA and a NAR neural network.","10.1017/S0950268816003216","2017 Apr","28115032","Tuberculosis (TB) affects people globally and is being reconsidered as a serious public health problem in China. Reliable forecasting is useful for the prevention and control of TB. This study proposes a hybrid model combining autoregressive integrated moving average (ARIMA) with a nonlinear autoregressive (NAR) neural network for forecasting the incidence of TB from January 2007 to March 2016. Prediction performance was compared between the hybrid model and the ARIMA model. The best-fit hybrid model was combined with an ARIMA (3,1,0) × (0,1,1)12 and NAR neural network with four delays and 12 neurons in the hidden layer. The ARIMA-NAR hybrid model, which exhibited lower mean square error, mean absolute error, and mean absolute percentage error of 0·2209, 0·1373, and 0·0406, respectively, in the modelling performance, could produce more accurate forecasting of TB incidence compared to the ARIMA model. This study shows that developing and applying the ARIMA-NAR hybrid model is an effective method to fit the linear and nonlinear patterns of time-series data, and this model could be helpful in the prevention and control of TB."
